sample,adc,filtered,lead_off
500,4813,58.75,0
501,4111,31.55,0
502,4184,-8.70,0
503,4966,-58.94,0
504,6078,-109.47,0
505,6892,-148.76,0
506,6950,-169.10,0
507,6228,-170.19,0
508,5111,-159.25,0
509,4241,-147.40,0
510,4046,-143.86,0
511,4608,-151.40,0
512,5659,-165.76,0
513,6620,-179.12,0
514,6920,-185.05,0
515,6397,-182.35,0
516,5311,-176.18,0
517,4290,-175.76,0
518,3844,-189.24,0
519,4203,-218.54,0
520,5177,-257.57,0
521,6293,-294.90,0
522,6913,-318.89,0
523,6680,-322.69,0
524,5740,-307.10,0
525,4614,-280.34,0
526,3917,-254.29,0
527,3992,-238.67,0
528,4801,-236.73,0
529,5952,-244.67,0
530,6817,-254.42,0
531,6932,-257.71,0
532,6270,-249.52,0
533,5211,-229.60,0
534,4383,-201.30,0
535,4233,-168.55,0
536,4812,-133.05,0
537,5869,-94.04,0
538,6808,-50.46,0
539,7071,-3.77,0
540,6531,40.42,0
541,5479,73.02,0
542,4514,84.87,0
543,4116,71.85,0
544,4473,38.33,0
545,5398,-3.91,0
546,6404,-41.07,0
547,6858,-63.84,0
548,6489,-71.77,0
549,5471,-73.80,0
550,4361,-84.42,0
551,3745,-116.39,0
552,3948,-173.38,0
553,4877,-246.61,0
554,6113,-317.43,0
555,6984,-364.49,0
556,7035,-371.85,0
557,6257,-335.10,0
558,5082,-263.28,0
559,4167,-175.50,0
560,3942,-93.64,0
561,4494,-34.82,0
562,5550,-7.20,0
563,6493,-10.06,0
564,6787,-36.68,0
565,6289,-78.17,0
566,5287,-126.45,0
567,4382,-174.95,0
568,4050,-217.10,0
569,4487,-244.88,0
570,5479,-249.74,0
571,6503,-226.04,0
572,6979,-174.98,0
573,6642,-106.32,0
574,5679,-36.70,0
575,4621,15.57,0
576,4036,37.63,0
577,4235,27.50,0
578,5093,-4.91,0
579,6193,-42.53,0
580,6943,-68.74,0
581,6938,-73.98,0
582,6200,-58.43,0
583,5156,-29.97,0
584,4401,1.09,0
585,4325,27.86,0
586,4954,49.95,0
587,5988,71.89,0
588,6825,98.29,0
589,6969,129.20,0
590,6297,157.87,0
591,5127,172.14,0
592,4078,158.94,0
593,3648,110.24,0
594,4018,27.49,0
595,5001,-78.11,0
596,6082,-189.45,0
597,6624,-289.05,0
598,6366,-364.01,0
599,5469,-408.84,0
600,4488,-425.20,0
601,3997,-418.42,0
602,4280,-392.83,0
603,5208,-349.04,0
604,6351,-285.13,0
605,7085,-200.55,0
606,7030,-99.89,0
607,6188,5.79,0
608,4987,100.74,0
609,4101,168.80,0
610,3930,198.66,0
611,4532,187.70,0
612,5556,142.36,0
613,6435,74.80,0
614,6630,-1.87,0
