sample,adc,filtered,lead_off
779,5309,-196.66,0
780,5348,-194.90,0
781,5388,-191.98,0
782,5407,-187.85,0
783,5395,-182.94,0
784,5351,-178.03,0
785,5301,-174.09,0
786,5269,-171.92,0
787,5266,-171.93,0
788,5291,-173.98,0
789,5324,-177.54,0
790,5343,-181.96,0
791,5340,-186.82,0
792,5306,-191.98,0
793,5267,-197.43,0
794,5239,-203.06,0
795,5233,-208.37,0
796,5266,-212.55,0
797,5319,-214.67,0
798,5369,-213.94,0
799,5387,-209.89,0
800,5365,-202.63,0
801,5319,-192.90,0
802,5284,-182.02,0
803,5271,-171.47,0
804,5286,-162.35,0
805,5323,-155.10,0
806,5366,-149.61,0
807,5389,-145.52,0
808,5375,-142.43,0
809,5340,-140.09,0
810,5308,-138.36,0
811,5294,-137.04,0
812,5307,-135.59,0
813,5346,-133.19,0
814,5398,-129.05,0
815,5443,-122.67,0
816,5458,-114.01,0
817,5446,-103.35,0
818,5424,-91.11,0
819,5422,-77.64,0
820,5463,-62.87,0
821,5552,-46.12,0
822,5653,-25.94,0
823,5745,-0.46,0
824,5796,31.90,0
825,5801,71.59,0
826,5774,117.41,0
827,5739,166.52,0
828,5709,215.03,0
829,5711,258.71,0
830,5762,293.86,0
831,5831,318.21,0
832,5885,331.69,0
833,5902,336.57,0
834,5890,336.77,0
835,5877,336.60,0
836,5881,339.72,0
837,5910,348.59,0
838,5959,364.17,0
839,6008,385.90,0
840,6029,411.79,0
841,6000,438.65,0
842,5934,462.53,0
843,5854,479.35,0
844,5778,485.71,0
845,5707,479.56,0
846,5657,460.33,0
847,5624,428.51,0
848,5596,385.15,0
849,5553,331.67,0
850,5488,270.06,0
851,5409,203.04,0
852,5344,133.96,0
853,5304,66.56,0
854,5292,4.38,0
855,5304,-49.80,0
856,5318,-94.55,0
857,5307,-130.02,0
858,5269,-157.77,0
859,5207,-180.28,0
860,5145,-200.19,0
861,5110,-219.62,0
862,5113,-239.59,0
863,5144,-259.88,0
864,5193,-279.25,0
865,5225,-296.00,0
866,5225,-308.58,0
867,5198,-316.12,0
868,5164,-318.56,0
869,5151,-316.50,0
870,5165,-310.70,0
871,5202,-301.73,0
